Subject,Relationship,Object
Benjamin Netanyahu,dateOfBirth,1949
Benjamin Netanyahu,placeOfBirth,"Tel Aviv, Israel"
Benjamin Netanyahu,nationality,Israeli
Benjamin Netanyahu,occupation,Politician
Benjamin Netanyahu,position,Prime Minister of Israel
Benjamin Netanyahu,termCount,Multiple Terms
Benjamin Netanyahu,partyAffiliation,Likud Party
Benjamin Netanyahu,policyFocus,Security
Benjamin Netanyahu,policyFocus,Foreign Relations
Benjamin Netanyahu,policyFocus,Economic Reforms
Benjamin Netanyahu,stance,Strong Defense
Benjamin Netanyahu,stance,Skepticism towards peace negotiations with certain Palestinian factions
Benjamin Netanyahu,legalIssues,Legal Controversies
Benjamin Netanyahu,legalIssues,Corruption Allegations
Benjamin Netanyahu,impact,Israeli Politics
Benjamin Netanyahu,impact,Global Perceptions of Israel
