Subject,Relationship,Object
Elon Reeve Musk,dateOfBirth,28 June 1971
Elon Reeve Musk,nationality,South African-born
Elon Reeve Musk,residency,United States
Elon Reeve Musk,occupation,Entrepreneur
Elon Reeve Musk,occupation,Business Magnate
Elon Reeve Musk,founderOf,SpaceX
Elon Reeve Musk,positionAtSpaceX,CEO
Elon Reeve Musk,positionAtSpaceX,Chief Engineer
Elon Reeve Musk,roleAtTesla,Early-stage Investor
Elon Reeve Musk,roleAtTesla,CEO
Elon Reeve Musk,roleAtTesla,Product Architect
Elon Reeve Musk,founderOf,The Boring Company
Elon Reeve Musk,coFounderOf,Neuralink
Elon Reeve Musk,coFounderOf,OpenAI
Elon Reeve Musk,positionAtMuskFoundation,President
Elon Reeve Musk,ownerOf,X Corp.
X Corp.,formerlyKnownAs,"Twitter, Inc."
Elon Reeve Musk,netWorth,US$195 billion (as of November 2022)
Elon Reeve Musk,wealthStatus,Wealthiest Person in the World
Wealthiest Person in the World,source,Bloomberg Billionaires Index
Wealthiest Person in the World,source,Forbes Real-Time Billionaires List
