Subject,Relationship,Object
Norman Gary Finkelstein,dateOfBirth,"December 8, 1953"
Norman Gary Finkelstein,nationality,American
Norman Gary Finkelstein,occupation,Political Scientist
Norman Gary Finkelstein,occupation,Activist
Norman Gary Finkelstein,occupation,Former Professor
Norman Gary Finkelstein,occupation,Author
Norman Gary Finkelstein,researchFocus,Israeli-Palestinian Conflict
Norman Gary Finkelstein,researchFocus,Holocaust Politics
Norman Gary Finkelstein,almaMater,Binghamton University
Norman Gary Finkelstein,degree,Undergraduate
Norman Gary Finkelstein,almaMater,Princeton University
Norman Gary Finkelstein,degree,Ph.D. in Political Science
Norman Gary Finkelstein,facultyPosition,Brooklyn College
Norman Gary Finkelstein,facultyPosition,Rutgers University
Norman Gary Finkelstein,facultyPosition,Hunter College
Norman Gary Finkelstein,facultyPosition,New York University
Norman Gary Finkelstein,facultyPosition,DePaul University
DePaul University,positionTitle,Assistant Professor
Norman Gary Finkelstein,employmentPeriod,2001-2007
