Subject,Relationship,Object
William Shakespeare,dateOfBirth,1564
William Shakespeare,dateOfDeath,1616
William Shakespeare,nationality,English
William Shakespeare,occupation,Playwright
William Shakespeare,occupation,Poet
William Shakespeare,occupation,Actor
William Shakespeare,notableWorks,39 Plays
William Shakespeare,notableWorks,154 Sonnets
William Shakespeare,notableWorks,Multiple Poems
William Shakespeare,activePeriod,Elizabethan Era
William Shakespeare,activePeriod,Jacobean Era
William Shakespeare,genre,Comedies
William Shakespeare,genre,Histories
William Shakespeare,genre,Tragedies
William Shakespeare,famousTragedy,Hamlet
William Shakespeare,famousTragedy,Othello
William Shakespeare,famousTragedy,King Lear
William Shakespeare,famousTragedy,Macbeth
William Shakespeare,influence,English Literature
William Shakespeare,globalReach,Translated Worldwide
William Shakespeare,globalReach,Most Performed Playwright
William Shakespeare,personalLife,Little Known
William Shakespeare,legacy,Celebrated Worldwide
